id,event_id,name,category,rank,format,default_round_format,participants,submissions_allowed,removed_wca,has_memo,hidden,description,important_info,rule,created_at,updated_at
1,333,3x3x3 Cube,wca,10,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.061Z,2023-09-28T14:33:36.818Z
2,222,2x2x2 Cube,wca,20,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.868Z
3,444,4x4x4 Cube,wca,30,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.878Z
4,555,5x5x5 Cube,wca,40,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.887Z
5,666,6x6x6 Cube,wca,50,time,m,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.894Z
6,777,7x7x7 Cube,wca,60,time,m,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.904Z
7,333bf,3x3x3 Blindfolded,wca,70,time,5,1,FALSE,FALSE,TRUE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.912Z
8,333fm,3x3x3 Fewest Moves,wca,80,number,m,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.919Z
9,333oh,3x3x3 One-Handed,wca,90,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.929Z
10,clock,Clock,wca,110,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.062Z,2023-09-28T14:33:36.941Z
11,minx,Megaminx,wca,120,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.947Z
12,pyram,Pyraminx,wca,130,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.954Z
13,skewb,Skewb,wca,140,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.961Z
14,sq1,Square-1,wca,150,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.968Z
15,fto,Face-Turning Octahedron,unofficial,1010,time,a,1,FALSE,FALSE,FALSE,FALSE,,,"- Scrambling notation: the puzzle is oriented with one vertex facing directly in the front, such that four of the faces are directly above, below, to the left, and to the right of the front-facing vertex. These make up the U, F, L, and R faces, respectively. For the four faces on the back, B is adjacent to U, BL is adjacent to L, BR is adjacent to R, and D is adjacent to F.
  - Scrambling orientation (see [Regulation 4d of the WCA Regulations](https://www.worldcubeassociation.org/regulations/#4d)): scrambled starting with white (if not possible, then the lightest color) as the U face and green (if not possible, then the darkest possible color) as the F face.
- The scramble must be applied correctly. If the puzzle state is wrong, the scrambler must correct it (e.g. by solving the puzzle and applying the scramble sequence again).
- Misalignment penalty (see [Regulation 10f of the WCA Regulations](https://www.worldcubeassociation.org/regulations/#article-10-solved-state)): at most 60 degrees.",2023-08-04T08:03:08.063Z,2024-07-21T22:02:31.186Z
16,444bf,4x4x4 Blindfolded,wca,160,time,3,1,TRUE,FALSE,TRUE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.976Z
17,555bf,5x5x5 Blindfolded,wca,170,time,3,1,TRUE,FALSE,TRUE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.979Z
18,333mbf,3x3x3 Multi-Blind,wca,180,multi,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-08-04T08:03:08.063Z,2023-09-28T14:33:36.984Z
19,333_team_bld,3x3x3 Team-Blind,unofficial,1020,time,a,2,FALSE,FALSE,FALSE,FALSE,"Solve a 3x3x3 as a team with a solver who is blindfolded, and a caller who is not allowed to touch the cube or the solver's arms below the elbow. There is no inspection time.",Sight blockers must be used and there is no inspection time.,"- This is a team event (see above) and a fully blindfolded event (from the perspective of the solver) that involves a caller telling a blindfolded solver how to solve a 3x3x3 puzzle.
- There is no inspection time.
- The solver removes the cover from the puzzle after starting the timer.
- The sight blocker should be held in a way that allows the caller to see the puzzle.
  - This may be coordinated with the judge. For example, the judge can stand across the table from the solver and hold the sight blocker from above. Alternatively, the judge can stand on one side of the solver (left or right) and try to hold the sight blocker in a less obstructive way, while the caller stands on the other side.
  - As in [Regulation B4c3](https://www.worldcubeassociation.org/regulations/#B4c3), a suitable object may be used as a sight blocker instead of being held by the judge.
- The competitors may switch roles between attempts.",2023-08-04T08:03:08.063Z,2026-03-04T12:24:19.677Z
20,333_team_factory,3x3x3 Team Factory,miscellaneous,3010,time,a,2,FALSE,FALSE,FALSE,FALSE,"As a team of two, solve a 3x3x3 one step at a time using CFOP or Roux. CFOP steps: cross, 1st, 2nd, 3rd, 4th pair, OLL, PLL. Roux steps: 2x2x1, 1st block, 2nd 2x2x1, 2nd block, CMLL, EOLR, 4C.",,,2023-08-04T08:03:08.063Z,2025-06-27T06:49:49.260Z
21,333ft,3x3x3 With Feet,unofficial,1300,time,a,1,FALSE,TRUE,FALSE,FALSE,,,- The [WCA Regulations for 3x3x3 With Feet](https://www.worldcubeassociation.org/regulations/history/official/2019-05-01/#article-D-feet) from 2019 apply.,2023-08-04T08:03:08.063Z,2024-07-22T07:05:11.725Z
22,magic,Magic,unofficial,1080,time,a,1,FALSE,TRUE,FALSE,FALSE,,,"- The solve consists of going from the unlinked ring pattern to the linked ring pattern, as configured in the original mass-produced puzzle.
- The [WCA Regulations for Magic](https://regulations.worldcubeassociation.org/history/files/regulations2010.html#magicsolving) from 2010 apply.",2023-08-04T08:03:08.063Z,2024-07-21T22:19:55.541Z
23,mmagic,Master Magic,unofficial,1090,time,a,1,FALSE,TRUE,FALSE,FALSE,,,"- The solve consists of going from the linked ring pattern to the unlinked ring pattern, as configured in the original mass-produced puzzle.
- The [WCA Regulations for Magic](https://regulations.worldcubeassociation.org/history/files/regulations2010.html#magicsolving) from 2010 apply.",2023-08-04T08:03:08.063Z,2024-07-21T22:20:49.881Z
24,333_oh_bld_team_relay,3x3x3 + OH + BLD Team Relay,miscellaneous,3940,time,1,3,TRUE,FALSE,FALSE,FALSE,,,,2023-08-23T15:04:10.450Z,2024-12-28T09:34:01.539Z
25,333mbo,3x3x3 Multi-Blind Old Style,extreme-bld,2010,multi,1,1,TRUE,TRUE,TRUE,FALSE,"Same as 3x3x3 Multi-Blind, except there is no time limit",,,2023-08-23T15:04:10.454Z,2023-10-03T06:04:44.421Z
26,333bf_2_person_relay,3x3x3 Blindfolded 2-man Relay,miscellaneous,3902,time,1,2,TRUE,FALSE,FALSE,FALSE,,,,2023-08-23T15:04:10.456Z,2024-12-28T09:33:34.606Z
27,333bf_3_person_relay,3x3x3 Blindfolded 3-man Relay,miscellaneous,3903,time,1,3,TRUE,FALSE,FALSE,FALSE,,,,2023-08-23T15:04:10.458Z,2024-12-28T09:33:41.453Z
28,333bf_4_person_relay,3x3x3 Blindfolded 4-man Relay,miscellaneous,3904,time,1,4,TRUE,FALSE,FALSE,FALSE,,,,2023-08-23T15:04:10.459Z,2024-12-28T09:33:47.666Z
29,333bf_8_person_relay,3x3x3 Blindfolded 8-man Relay,miscellaneous,3908,time,1,8,TRUE,FALSE,FALSE,FALSE,,,,2023-08-23T15:04:10.461Z,2024-12-28T09:33:53.394Z
30,333_team_bld_old,3x3x3 Team-Blind With Inspection,miscellaneous,3005,time,a,2,FALSE,FALSE,FALSE,FALSE,The old format of Team-Blind that has inspection time,,,2023-08-23T15:04:10.463Z,2025-06-05T12:50:23.892Z
31,666bf,6x6x6 Blindfolded,extreme-bld,2100,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-09-10T15:19:34.878Z,2023-09-28T14:33:37.056Z
32,777bf,7x7x7 Blindfolded,extreme-bld,2110,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-09-10T15:19:34.897Z,2023-09-28T14:33:37.058Z
33,888bf,8x8x8 Blindfolded,extreme-bld,2120,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-09-10T15:19:34.901Z,2023-09-28T14:33:37.060Z
34,999bf,9x9x9 Blindfolded,extreme-bld,2130,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-09-10T15:19:34.904Z,2023-09-28T14:33:37.062Z
35,234567relay_bld,2x2x2-7x7x7 Relay Blindfolded,extreme-bld,2292,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-09-10T15:19:34.908Z,2024-11-26T07:42:46.988Z
36,minx_bld,Megaminx Blindfolded,extreme-bld,2310,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-09-10T15:19:34.913Z,2023-10-06T09:44:03.215Z
37,234567relay,2x2x2-7x7x7 Relay,miscellaneous,3830,time,3,1,FALSE,FALSE,FALSE,FALSE,,Relay events with four or more puzzles have a 30 second inspection phase. Please see the rules page for clarification.,,2023-09-15T21:05:23.675Z,2026-03-05T03:03:00.347Z
38,333_mirror_blocks,Mirror Blocks,unofficial,1030,time,a,1,FALSE,FALSE,FALSE,FALSE,,,"- All sides of the puzzle must be clearly distinguishable from each other (i.e. have distinct thicknesses on each side).
  - All pieces of the puzzle must only be distinguishable from each other by the thickness on each axis. There must be no other way to distinguish the pieces from each other, be that visually, by feel, or otherwise. Exception: the puzzle may have one logo on one of the center pieces.
- The orientation of the centers does not matter for determining the solved state.
- Scrambling orientation (see [Regulation 4d of the WCA Regulations](https://www.worldcubeassociation.org/regulations/#4d)): scrambled starting with the thickest layer as the top face and the next thickest adjacent layer on the front face.",2023-09-27T20:11:09.680Z,2024-07-21T22:23:14.718Z
39,333mts_old,3x3x3 Match The Scramble With Inspection,removed,4010,time,3,1,FALSE,FALSE,FALSE,FALSE,"Using a solved 3x3x3 (A) and a scrambled one (B), bring cube A to the same state as cube B without making turns on cube B. There is 15 seconds of inspection time.",,,2023-09-27T20:11:09.692Z,2024-04-14T18:34:24.033Z
40,234relay,2x2x2-4x4x4 Relay,miscellaneous,3810,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-09-27T20:11:09.697Z,2024-12-28T09:34:15.743Z
41,2345relay,2x2x2-5x5x5 Relay,miscellaneous,3820,time,3,1,FALSE,FALSE,FALSE,FALSE,,Relay events with four or more puzzles have a 30 second inspection phase. Please see the rules page for clarification.,,2023-09-27T20:11:09.701Z,2026-03-05T03:02:09.629Z
42,333_inspectionless,3x3x3 No Inspection,miscellaneous,3015,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-09-27T20:11:09.812Z,2024-12-28T08:31:24.210Z
43,333_scrambling,3x3x3 Scrambling,miscellaneous,3020,time,a,1,FALSE,FALSE,FALSE,FALSE,Correctly scramble a 3x3x3 using standard WCA move notation. The competitor may inspect the scramble sequence using standard inspection procedures.,,,2023-09-27T20:11:09.816Z,2024-12-28T08:31:57.928Z
44,333oh_x2,3x3x3 Double One-Handed,miscellaneous,3025,time,m,1,FALSE,FALSE,FALSE,FALSE,"Solve two 3x3x3s one-handed, one in each hand. They do not need to be solved simultaneously.",,,2023-09-27T20:11:09.819Z,2024-12-28T08:32:26.671Z
45,333oh_bottle,3x3x3 H2OH,miscellaneous,3093,time,1,1,FALSE,FALSE,FALSE,TRUE,Solve a 3x3x3 one-handed and drink a 230-340ml bottle of non-alcoholic liquid. This does not need to be done simultaneously. The bottle must remain closed until the competitor starts the timer. Penalty: DNF. The liquid must not be spilled. Penalty: DNF.,,,2023-09-27T20:11:09.823Z,2025-06-01T06:37:46.438Z
46,222_squared,2x2x2 Squared,miscellaneous,3118,time,a,1,FALSE,FALSE,FALSE,TRUE,Solve a 4x4x4 that has been scrambled like a 2x2x2,,,2023-09-29T21:28:49.150Z,2024-12-28T09:12:28.140Z
47,223_cuboid,2x2x3 Cuboid,miscellaneous,3612,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-09-30T15:36:37.122Z,2024-12-28T09:35:36.809Z
48,mpyram,Master Pyraminx,unofficial,1050,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-09-30T15:41:28.783Z,2023-10-28T18:09:34.056Z
49,redi,Redi Cube,unofficial,1070,time,a,1,FALSE,FALSE,FALSE,FALSE,,,"- Scrambling notation is the same as the Skewb puzzle (see [Regulation 12h of the WCA Regulations](https://www.worldcubeassociation.org/regulations/full/#12h)) with the following additions: F (the layer around the closest visible vertex), UR (the layer around the upper-right vertex), UL (the layer around the upper-left vertex), D (the layer around the lowest visible vertex).
  - Scrambling orientation is the same as the Skewb puzzle (see [Regulation 4d of the WCA Regulations](https://www.worldcubeassociation.org/regulations/full/#4d)).
- Misalignment penalty (see [Regulation 10f of the WCA Regulations](https://www.worldcubeassociation.org/regulations/#article-10-solved-state)): at most 60 degrees.",2023-09-30T15:50:32.748Z,2024-08-01T19:27:32.121Z
50,kilominx,Kilominx,unofficial,1060,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-09-30T15:51:26.300Z,2023-10-28T18:09:46.890Z
51,333_mirror_blocks_bld,Mirror Blocks Blindfolded,unofficial,1040,time,m,1,FALSE,FALSE,FALSE,FALSE,Solve a Mirror Blocks by feel without memorization,,"- This is a fully blindfolded event (see above).
- The rules for the Mirror Blocks event apply.",2023-09-30T15:55:47.069Z,2026-02-06T08:58:25.585Z
52,miniguild_2_person,2-man Mini Guildford,unofficial,1505,time,3,2,FALSE,FALSE,FALSE,FALSE,"As a team of two, solve these puzzles: 2x2x2-5x5x5, Pyraminx, Megaminx, Skewb, Square-1, Clock, and solve a 3x3x3 one-handed. It doesn't matter, who does which event.",,"- This is a team event and a relay event (see above).
- As a team of two, solve these puzzles: 2x2x2, 3x3x3, 4x4x4, 5x5x5, Pyraminx, Megaminx, Skewb, Square-1, Clock, and solve a 3x3x3 one-handed.
- Any team member may do any of the puzzles/events.
- A box should be used to transport and cover all of the puzzles before the start of each attempt.",2023-09-30T16:00:16.305Z,2024-09-17T12:00:12.629Z
53,101010bf,10x10x10 Blindfolded,extreme-bld,2140,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-10-01T18:45:39.579Z,2023-10-01T18:45:52.207Z
54,111111bf,11x11x11 Blindfolded,extreme-bld,2150,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-10-01T18:46:46.957Z,2023-10-01T18:46:46.957Z
55,penta_clock,Super Pentagonal Clock,miscellaneous,3481,time,a,1,FALSE,FALSE,FALSE,FALSE,Also known as 5x5 Clock. Sold by Shengshou and contains a middle center clock.,,,2023-10-02T08:07:21.020Z,2025-12-28T21:12:11.025Z
56,minx2345relay_bld,Kilo-Gigaminx Relay Blindfolded,extreme-bld,2400,time,1,1,TRUE,FALSE,TRUE,FALSE,"Solve a Kilominx, Megaminx, Master Kilominx and Gigaminx blindfolded",,,2023-10-06T09:37:51.650Z,2024-08-24T08:59:41.182Z
57,minx555_bld,Gigaminx Blindfolded,extreme-bld,2312,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-10-06T09:38:45.518Z,2023-10-06T09:46:34.442Z
58,minx444_bld,Master Kilominx Blindfolded,extreme-bld,2311,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-10-06T09:39:50.981Z,2023-10-06T09:46:17.548Z
59,2345678relay_bld,2x2x2-8x8x8 Relay Blindfolded,extreme-bld,2293,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-10-06T09:55:02.699Z,2024-11-26T07:42:26.690Z
60,sq1_mbo,Square-1 Multi-Blind,extreme-bld,2250,multi,1,1,TRUE,FALSE,TRUE,TRUE,There is no time limit,,,2023-10-06T10:08:29.603Z,2024-08-24T09:01:06.746Z
61,miniguild_bld,Mini Guildford Blindfolded,extreme-bld,2300,time,1,1,TRUE,FALSE,TRUE,FALSE,"Solve these puzzles blindfolded: 2x2x2-5x5x5, Pyraminx, Megaminx, Skewb, Square-1, Clock, and solve a 3x3x3 one-handed, also while blindfolded",,,2023-10-06T10:12:43.728Z,2024-08-26T16:21:59.169Z
62,pyram_crystal_bld,Pyraminx Crystal Blindfolded,extreme-bld,2600,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-10-06T10:14:02.135Z,2024-08-24T09:00:00.416Z
63,fto_bld,Face-Turning Octahedron Blindfolded,miscellaneous,3311,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-10-06T10:16:01.698Z,2025-05-17T06:18:33.707Z
64,333_oven_mitts,3x3x3 With Oven Mitts,miscellaneous,3030,time,m,1,FALSE,FALSE,FALSE,FALSE,,,"- Oven mitts must be of the standard type shown below, with one ""pouch"" for four fingers and a smaller ""pouch"" for the thumb.

![](https://supabase.cubingcontests.com/storage/v1/object/public/public_bucket/assets/oven_mitts.png)

- Competitors may only touch the puzzle while wearing the oven mitts.
  - The Competitor doesn’t have to wear the oven mitts during inspection.
- Competitors may start and stop the timer using their forearms, but the oven mitts must not be in contact with the puzzle while starting or stopping the timer.
- Puzzle defects must be fixed while wearing the oven mitts.",2023-10-07T20:07:44.926Z,2026-02-02T17:57:29.136Z
65,sq1_bld,Square-1 Blindfolded,miscellaneous,3191,time,1,1,TRUE,FALSE,TRUE,FALSE,,,,2023-10-08T11:02:29.092Z,2024-12-28T09:46:07.697Z
66,444ft,4x4x4 With Feet,miscellaneous,3114,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-10-15T15:46:46.868Z,2024-12-28T09:44:06.712Z
67,gear_cube,Gear Cube,miscellaneous,3060,time,a,1,FALSE,FALSE,FALSE,FALSE,Not to be confused with the Super Gear Cube. Please see the rules page for clarification.,Not to be confused with the Super Gear Cube. Please see the rules page for clarification.,"Please note the differences between the Gear Cube and the Super Gear Cube. The original Gear Cube has small center pieces with teeth, but they do not have any stickers. In contrast, the Super Gear Cube has two versions: one similar to the original Gear Cube, except with those small center pieces having colors, and one without the small center pieces made by QiYi that is functionally equivalent and has the same number of states.

![](https://supabase.cubingcontests.com/storage/v1/object/public/public_bucket/assets/gear_cubes.jpg)",2023-10-19T10:58:29.162Z,2026-03-05T00:49:15.164Z
68,360_puzzle,360 Puzzle,miscellaneous,3450,time,a,1,FALSE,FALSE,FALSE,FALSE,One example of this puzzle is the Rubik's 360,,,2023-10-21T15:46:46.086Z,2024-12-28T10:18:39.287Z
69,snake,Snake,miscellaneous,3440,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-10-21T20:06:25.557Z,2024-12-28T10:18:22.496Z
70,333_x3_relay,Three 3x3x3 Cubes Relay,removed,4020,time,a,1,FALSE,FALSE,FALSE,FALSE,"Solve three 3x3x3 cubes, all scrambled differently. This is not a team event.",,,2023-10-22T08:38:50.014Z,2024-12-29T21:03:17.369Z
71,222bf,2x2x2 Blindfolded,miscellaneous,3101,time,5,1,FALSE,FALSE,FALSE,FALSE,,,,2023-10-23T09:53:12.649Z,2024-12-28T09:43:31.358Z
72,222oh,2x2x2 One-Handed,miscellaneous,3103,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-10-23T09:58:40.550Z,2024-12-28T09:43:41.072Z
73,333_speed_bld,3x3x3 Speed-Blind,unofficial,1210,time,1,1,TRUE,FALSE,FALSE,FALSE,Memorize a 3x3x3 and solve it as fast as possible blindfolded. Only the solution part is timed.,,"- This is a blindfolded event (see above), except the final result only includes the execution phase. The execution phase proceeds like a fully blindfolded event, with the following exceptions:
- The entire attempt (memorization + execution) is timed by a judge using a stopwatch.
  - The judge starts the stopwatch while lifting the cover.
  - The judge stops the stopwatch once the competitor stops the timer.
  - A fixed time limit of 15 minutes applies to each attempt, as timed by the stopwatch.
    - The stopwatch time is not used in the recorded result.
    - Attempts for this event must not count towards a cumulative time limit. If a competitor is eligible for an attempt, they are entitled to the full 15 minutes, although their eligibility for an attempt may be determined by a cutoff.
- The recorded time of the execution phase, as timed by the timer, is the final recorded result.",2023-10-23T14:02:46.930Z,2024-07-22T09:51:53.643Z
74,magic_oh,Magic One-Handed,miscellaneous,3413,time,a,1,FALSE,FALSE,FALSE,FALSE,,,,2023-10-23T14:09:15.901Z,2024-12-28T10:15:34.194Z
75,rainbow_cube,Rainbow Cube,miscellaneous,3390,time,a,1,FALSE,FALSE,FALSE,FALSE,Cuboctahedron-shaped puzzle,,,2023-10-27T05:17:26.919Z,2024-12-28T10:20:10.474Z
76,333_siamese,3x3x3 Siamese Cube,miscellaneous,3058,time,m,1,FALSE,FALSE,FALSE,FALSE,Two 3x3x3 puzzles connected with one edge and two corners,,,2023-10-28T08:53:36.739Z,2026-04-01T07:09:01.088Z
77,333_supersolve,3x3x3 Supersolve,miscellaneous,3045,time,1,1,FALSE,FALSE,FALSE,FALSE,Solve a 3x3x3 cube using as much preparation time as needed. The scrambles can be shared ahead of time. Only execution is timed. Only the first timed attempt is accepted.,,,2023-11-05T07:25:15.428Z,2025-07-05T06:42:41.311Z
78,15puzzle,15 Puzzle,miscellaneous,3430,time,a,1,FALSE,FALSE,FALSE,FALSE,,,"- Scrambling notation: the puzzle is oriented with the empty cell in the bottom right corner. Every move is determined based on how the empty cell is filled: U represents moving one piece up by one cell, filling the empty cell; R represents moving right, D - down, L - left. 2 represents moving two pieces together, 3 represents moving three pieces together. For example: R2 moves two pieces to the right. A move shifting multiple pieces together is still counted as one move.
- Solved state: all pieces are arranged in numerical order from lowest to highest, going from left to right, top to bottom, with the empty cell in the bottom right corner. The orientation of the pieces does not affect the solved state. Up to one piece may be flipped in place such that the number is not visible. Penalty for more than one flipped piece: DNF.
- There is no restriction on coloring pieces.
  - If one move is required to bring the puzzle to its solved state, the puzzle is considered solved with a time penalty (+2 seconds).
  - Acceptable misalignments: one or more pieces on the same line are at most 50% of the way to the neighboring cell.
- Required scrambler: https://tinyurl.com/15scrambler",2023-11-22T14:51:02.318Z,2026-02-09T05:25:34.230Z
79,corner_heli222,Corner Helicopter 2x2x2,miscellaneous,3385,time,m,1,FALSE,FALSE,FALSE,FALSE,,,,2024-01-14T22:26:50.458Z,2024-12-28T10:20:36.065Z
80,333_one_side,3x3x3 One Side,miscellaneous,3040,time,a,1,FALSE,FALSE,FALSE,FALSE,Solve any side on the 3x3x3 puzzle as fast as possible.,,,2024-03-07T08:24:18.706Z,2024-12-28T10:23:58.872Z
